Time,Forces,Platform Position
92381499.0,-1.65,0.03
92382097.0,-1.66,0.03
92382694.0,-1.65,0.03
92383292.0,-1.66,0.03
92383889.0,-1.65,0.03
92384487.0,-1.59,0.03
92385084.0,-1.59,0.03
92385682.0,-1.59,0.03
92386279.0,-1.59,0.03
92386877.0,-1.59,0.03
92387474.0,-1.55,0.03
92388072.0,-1.55,0.03
92388669.0,-1.55,0.03
92389267.0,-1.55,0.03
92389864.0,-1.55,0.03
92390462.0,-1.49,0.03
92391059.0,-1.49,0.03
92391657.0,-1.49,0.03
92392254.0,-1.49,0.03
92392959.0,-1.49,0.03
92393556.0,-1.61,0.03
92394154.0,-1.61,0.03
92394751.0,-1.61,0.03
92395349.0,-1.61,0.03
92395946.0,-1.61,0.03
92396544.0,-1.61,0.03
92397141.0,-1.66,0.03
92397739.0,-1.66,0.03
92398336.0,-1.66,0.03
92398934.0,-1.66,0.03
92399531.0,-1.66,0.03
92400129.0,-1.55,0.03
92400726.0,-1.55,0.03
92401324.0,-1.55,0.03
92401921.0,-1.55,0.03
92402519.0,-1.55,0.03
92403116.0,-1.62,0.03
92403714.0,-1.62,0.03
92404311.0,-1.62,0.03
92404909.0,-1.62,0.03
92405506.0,-1.62,0.03
92406103.0,-1.66,0.03
92406701.0,-1.66,0.03
92407298.0,-1.66,0.03
92407896.0,-1.66,0.03
92408494.0,-1.66,0.03
92409091.0,-1.66,0.03
92409689.0,-1.78,0.03
92410286.0,-1.77,0.03
92410884.0,-1.78,0.03
92411481.0,-1.77,0.03
92412079.0,-1.78,0.03
92412676.0,-1.73,0.03
92413274.0,-1.73,0.03
92413871.0,-1.73,0.03
92414469.0,-1.73,0.03
92415066.0,-1.73,0.03
92415664.0,-1.66,0.03
92416261.0,-1.66,0.03
92416859.0,-1.66,0.03
92417456.0,-1.66,0.03
92418054.0,-1.66,0.03
92418651.0,-1.67,0.03
92419249.0,-1.67,0.03
92419846.0,-1.67,0.03
92420444.0,-1.67,0.03
92421041.0,-1.67,0.03
92421638.0,-1.7,0.03
92422236.0,-1.7,0.03
92422833.0,-1.7,0.03
92423431.0,-1.7,0.03
92424028.0,-1.7,0.03
92424626.0,-1.7,0.03
92425223.0,-1.62,0.03
92425821.0,-1.62,0.03
92426418.0,-1.62,0.03
92427016.0,-1.62,0.03
92427613.0,-1.62,0.03
92428211.0,-1.66,0.03
92428808.0,-1.67,0.03
92429406.0,-1.66,0.03
92430003.0,-1.67,0.03
92430601.0,-1.66,0.03
92431198.0,-1.58,0.03
92431796.0,-1.58,0.03
92432393.0,-1.58,0.03
92432991.0,-1.58,0.03
92433588.0,-1.58,0.03
92434186.0,-1.51,0.03
92434783.0,-1.51,0.03
92435381.0,-1.51,0.03
92435978.0,-1.51,0.03
92436576.0,-1.51,0.03
92437173.0,-1.51,0.03
92437771.0,-1.61,0.03
92438368.0,-1.61,0.03
92438966.0,-1.61,0.03
92439563.0,-1.61,0.03
92440161.0,-1.61,0.03
92440758.0,-1.65,0.03
92441356.0,-1.65,0.03
92441953.0,-1.65,0.03
92442551.0,-1.65,0.03
92443148.0,-1.65,0.03
92443746.0,-1.6,0.03
92444343.0,-1.6,0.03
92444941.0,-1.6,0.03
92445538.0,-1.6,0.03
92446136.0,-1.6,0.03
92446734.0,-1.45,0.03
92447331.0,-1.45,0.03
92447929.0,-1.45,0.03
92448526.0,-1.45,0.03
92449124.0,-1.45,0.03
92449721.0,-1.55,0.03
92450319.0,-1.55,0.03
92450916.0,-1.55,0.03
92451514.0,-1.55,0.03
92452111.0,-1.55,0.03
92452709.0,-1.55,0.03
92453306.0,-1.48,0.03
92453904.0,-1.48,0.03
92454501.0,-1.48,0.03
92455099.0,-1.48,0.03
92455696.0,-1.48,0.03
92456294.0,-1.41,0.03
92456891.0,-1.41,0.03
92457488.0,-1.41,0.03
92458086.0,-1.41,0.03
92458683.0,-1.41,0.03
92459281.0,-1.57,0.03
92459878.0,-1.57,0.03
92460476.0,-1.57,0.03
92461074.0,-1.57,0.03
92461671.0,-1.57,0.03
92462269.0,-1.55,0.03
92462866.0,-1.55,0.03
92463464.0,-1.55,0.03
92464061.0,-1.55,0.03
92464658.0,-1.55,0.03
92465256.0,-1.55,0.03
92465853.0,-1.51,0.03
92466451.0,-1.51,0.03
92467048.0,-1.51,0.03
92467646.0,-1.51,0.03
92468243.0,-1.51,0.03
92468841.0,-1.55,0.03
92469438.0,-1.55,0.03
92470036.0,-1.55,0.03
92470633.0,-1.55,0.03
92471231.0,-1.55,0.03
92471828.0,-1.5,0.03
92472426.0,-1.5,0.03
