Time,Forces,Platform Position
106356461.0,-1.5,0.03
106357059.0,-1.5,0.03
106357656.0,-1.5,0.03
106358254.0,-1.5,0.03
106358851.0,-1.5,0.03
106359449.0,-1.56,0.03
106360047.0,-1.55,0.03
106360644.0,-1.56,0.03
106361241.0,-1.55,0.03
106361839.0,-1.56,0.03
106362436.0,-1.55,0.03
106363034.0,-1.54,0.03
106363631.0,-1.54,0.03
106364229.0,-1.54,0.03
106364826.0,-1.54,0.03
106365424.0,-1.54,0.03
106366022.0,-1.54,0.03
106366619.0,-1.55,0.03
106367217.0,-1.54,0.03
106367814.0,-1.55,0.03
106368412.0,-1.54,0.03
106369009.0,-1.51,0.03
106369607.0,-1.5,0.03
106370204.0,-1.51,0.03
106370802.0,-1.5,0.03
106371399.0,-1.51,0.03
106371997.0,-1.67,0.03
106372594.0,-1.67,0.03
106373192.0,-1.67,0.03
106373789.0,-1.67,0.03
106374387.0,-1.67,0.03
106374984.0,-1.8,0.03
106375582.0,-1.8,0.03
106376286.0,-1.8,0.03
106376884.0,-1.8,0.03
106377481.0,-1.8,0.03
