Time,Forces,Platform Position
1573681487.0,1.27,-0.57
1573682085.0,1.27,-0.57
1573682682.0,1.44,-0.57
1574626781.0,1.46,-0.57
1574627379.0,1.45,-0.57
1574627976.0,1.39,-0.57
1574628574.0,1.39,-0.57
1574629171.0,1.39,-0.57
1574629769.0,1.39,-0.57
1574630366.0,1.39,-0.57
1574630964.0,1.39,-0.57
1574631561.0,1.29,-0.57
1574632159.0,1.29,-0.57
1574632756.0,1.29,-0.57
1574633354.0,1.29,-0.57
1574633951.0,1.29,-0.57
1574634549.0,1.48,-0.57
1574635147.0,1.48,-0.57
1574635744.0,1.48,-0.57
1574636342.0,1.48,-0.57
1574636939.0,1.48,-0.57
1574637537.0,1.54,-0.57
1574638134.0,1.54,-0.57
1574638732.0,1.54,-0.57
1574639329.0,1.54,-0.57
1574639927.0,1.54,-0.57
1574640524.0,1.46,-0.57
1574641122.0,1.46,-0.57
1574641719.0,1.46,-0.57
1574642317.0,1.46,-0.57
1574642914.0,1.46,-0.57
1574643512.0,1.46,-0.57
1574644109.0,1.65,-0.57
1574644707.0,1.65,-0.57
1574645304.0,1.65,-0.57
1574645902.0,1.65,-0.57
1574646500.0,1.65,-0.57
1574647097.0,1.39,-0.57
1574647695.0,1.39,-0.57
1574648292.0,1.39,-0.57
1574648890.0,1.39,-0.57
1574649487.0,1.39,-0.57
1574650085.0,1.45,-0.57
1574650682.0,1.46,-0.57
1574651280.0,1.45,-0.57
1574651877.0,1.46,-0.57
1574652475.0,1.45,-0.57
1574653072.0,1.4,-0.57
1574653670.0,1.4,-0.57
1574654267.0,1.4,-0.57
1574654865.0,1.4,-0.57
1574655462.0,1.4,-0.57
1574656060.0,1.26,-0.57
1574656657.0,1.26,-0.57
1574657255.0,1.26,-0.57
1574657852.0,1.26,-0.57
1574658450.0,1.26,-0.57
1574659047.0,1.26,-0.57
1574659645.0,1.46,-0.57
1574660242.0,1.46,-0.57
1574660840.0,1.46,-0.57
1574661437.0,1.46,-0.57
1574662035.0,1.46,-0.57
1574662633.0,1.44,-0.57
1574663230.0,1.44,-0.57
1574663828.0,1.44,-0.57
1574664425.0,1.44,-0.57
1574665023.0,1.44,-0.57
1574665620.0,1.14,-0.57
1574666218.0,1.14,-0.57
1574666815.0,1.14,-0.57
1574667413.0,1.14,-0.57
1574668011.0,1.14,-0.57
1574668608.0,1.09,-0.57
1574669206.0,1.09,-0.57
1574669803.0,1.09,-0.57
1574670401.0,1.09,-0.57
1574670998.0,1.09,-0.57
1574671596.0,1.09,-0.57
1574672193.0,1.09,-0.57
1574672791.0,1.09,-0.57
1574673388.0,1.09,-0.57
1574673986.0,1.09,-0.57
1574674583.0,1.09,-0.57
1574675181.0,1.27,-0.57
1574675778.0,1.27,-0.57
1574676376.0,1.27,-0.57
1574676973.0,1.27,-0.57
1574677571.0,1.27,-0.57
1574678168.0,1.35,-0.57
1574678766.0,1.35,-0.57
1574679363.0,1.35,-0.57
1574679961.0,1.35,-0.57
1574680558.0,1.35,-0.57
1574681156.0,1.43,-0.57
1574681754.0,1.43,-0.57
1574682351.0,1.43,-0.57
1574682949.0,1.43,-0.57
1574683546.0,1.43,-0.57
1574684144.0,1.23,-0.57
1574684741.0,1.23,-0.57
1574685339.0,1.23,-0.57
1574685936.0,1.23,-0.57
1574686534.0,1.23,-0.57
1574687131.0,1.23,-0.57
1574687729.0,1.3,-0.57
1574688326.0,1.3,-0.57
1574688924.0,1.3,-0.57
1574689522.0,1.3,-0.57
1574690119.0,1.3,-0.57
1574690717.0,1.38,-0.57
1574691314.0,1.38,-0.57
1574691912.0,1.38,-0.57
1574692509.0,1.38,-0.57
1574693107.0,1.38,-0.57
1574693704.0,1.42,-0.57
1574694302.0,1.42,-0.57
1574694899.0,1.42,-0.57
1574695497.0,1.42,-0.57
1574696094.0,1.42,-0.57
1574696692.0,1.5,-0.57
1574697289.0,1.5,-0.57
1574697887.0,1.5,-0.57
1574698484.0,1.5,-0.57
1574699082.0,1.5,-0.57
1574699679.0,1.46,-0.57
1574700277.0,1.46,-0.57
1574700874.0,1.46,-0.57
1574701472.0,1.46,-0.57
1574702069.0,1.46,-0.57
1574702667.0,1.46,-0.57
1574703264.0,1.44,-0.57
1574703862.0,1.44,-0.57
1574704459.0,1.44,-0.57
1574705057.0,1.44,-0.57
1574705654.0,1.44,-0.57
1574706252.0,1.5,-0.57
1574706850.0,1.5,-0.57
1574707447.0,1.5,-0.57
1574708045.0,1.5,-0.57
1574708642.0,1.5,-0.57
1574709240.0,1.44,-0.57
1574709837.0,1.44,-0.57
1574710435.0,1.44,-0.57
1574711032.0,1.44,-0.57
1574711630.0,1.44,-0.57
1574712228.0,1.59,-0.57
1574712825.0,1.59,-0.57
1574713423.0,1.59,-0.57
1574714020.0,1.59,-0.57
1574714618.0,1.59,-0.57
1574715215.0,1.59,-0.57
1574715813.0,1.55,-0.57
1574716410.0,1.55,-0.57
1574717008.0,1.55,-0.57
1574717605.0,1.55,-0.57
1574718203.0,1.55,-0.57
1574718800.0,1.37,-0.57
1574719398.0,1.37,-0.57
1574719995.0,1.37,-0.57
1574720593.0,1.37,-0.57
1574721190.0,1.37,-0.57
1574721788.0,1.42,-0.57
1574722386.0,1.42,-0.57
1574722983.0,1.42,-0.57
1574723581.0,1.42,-0.57
1574724178.0,1.42,-0.57
1574724775.0,1.53,-0.57
1574725373.0,1.53,-0.57
1574725971.0,1.53,-0.57
1574726568.0,1.53,-0.57
1574727166.0,1.53,-0.57
1574727763.0,1.33,-0.57
1574728361.0,1.33,-0.57
1574728958.0,1.33,-0.57
1574729556.0,1.33,-0.57
1574730153.0,1.33,-0.57
1574730751.0,1.33,-0.57
1574731348.0,1.2,-0.57
1574731946.0,1.2,-0.57
1574732543.0,1.2,-0.57
1574733141.0,1.2,-0.57
1574733738.0,1.2,-0.57
1574734336.0,1.3,-0.57
1574734934.0,1.3,-0.57
1574735531.0,1.3,-0.57
1574736129.0,1.3,-0.57
1574736726.0,1.3,-0.57
1574737324.0,1.35,-0.57
1574737921.0,1.35,-0.57
1574738519.0,1.35,-0.57
1574739116.0,1.35,-0.57
1574739714.0,1.35,-0.57
1574740311.0,1.41,-0.57
1574740909.0,1.41,-0.57
1574741506.0,1.41,-0.57
1574742104.0,1.41,-0.57
1574742702.0,1.41,-0.57
1574743299.0,1.41,-0.57
1574743897.0,1.53,-0.57
1574744494.0,1.53,-0.57
1574745092.0,1.53,-0.57
1574745689.0,1.53,-0.57
1574746287.0,1.53,-0.57
1574746884.0,1.45,-0.57
1574747482.0,1.45,-0.57
1574748079.0,1.45,-0.57
1574748677.0,1.45,-0.57
1574749274.0,1.45,-0.57
1574749872.0,1.3,-0.57
1574750469.0,1.3,-0.57
1574751067.0,1.3,-0.57
1574751664.0,1.3,-0.57
1574752262.0,1.3,-0.57
1574752860.0,1.24,-0.57
1574753457.0,1.25,-0.57
1574754054.0,1.24,-0.57
1574754652.0,1.25,-0.57
1574755250.0,1.24,-0.57
1574755847.0,1.24,-0.57
1574756445.0,1.24,-0.57
1574757042.0,1.24,-0.57
1574757640.0,1.24,-0.57
1574758237.0,1.24,-0.57
1574758835.0,1.24,-0.57
1574759432.0,1.29,-0.57
1574760030.0,1.29,-0.57
1574760627.0,1.29,-0.57
1574761225.0,1.29,-0.57
1574761822.0,1.29,-0.57
1574762420.0,1.46,-0.57
1574763018.0,1.47,-0.57
1574763615.0,1.46,-0.57
1574764213.0,1.47,-0.57
1574764810.0,1.46,-0.57
1574765408.0,1.43,-0.57
1574766005.0,1.43,-0.57
1574766603.0,1.43,-0.57
1574767200.0,1.43,-0.57
1574767798.0,1.43,-0.57
1574768395.0,1.18,-0.57
1574768993.0,1.18,-0.57
1574769590.0,1.18,-0.57
1574770188.0,1.18,-0.57
1574770785.0,1.18,-0.57
1574771383.0,1.18,-0.57
1574771980.0,0.98,-0.57
1574772578.0,0.98,-0.57
1574773175.0,0.98,-0.57
1574773773.0,0.98,-0.57
1574774370.0,0.98,-0.57
1574774968.0,0.92,-0.57
1574775565.0,0.92,-0.57
1574776163.0,0.92,-0.57
1574776760.0,0.92,-0.57
1574777358.0,0.92,-0.57
1574777955.0,1.0,-0.57
1574778553.0,1.0,-0.57
1574779151.0,1.0,-0.57
1574779748.0,1.0,-0.57
1574780346.0,1.0,-0.57
1574780943.0,1.19,-0.57
1574781541.0,1.19,-0.57
1574782139.0,1.19,-0.57
1574782736.0,1.19,-0.57
1574783334.0,1.19,-0.57
1574783931.0,0.98,-0.57
1574784529.0,0.98,-0.57
1574785126.0,0.98,-0.57
1574785724.0,0.98,-0.57
1574786321.0,0.98,-0.57
1574786918.0,0.98,-0.57
1574787516.0,1.07,-0.57
1574788113.0,1.07,-0.57
1574788711.0,1.07,-0.57
1574789308.0,1.07,-0.57
1574789906.0,1.07,-0.57
1574790503.0,1.26,-0.57
1574791101.0,1.26,-0.57
1574791698.0,1.26,-0.57
1574792296.0,1.26,-0.57
1574792894.0,1.26,-0.57
1574793491.0,1.36,-0.57
1574794089.0,1.36,-0.57
1574794686.0,1.36,-0.57
1574795284.0,1.36,-0.57
1574795881.0,1.36,-0.57
1574796479.0,1.33,-0.57
1574797076.0,1.33,-0.57
1574797674.0,1.33,-0.57
1574798271.0,1.33,-0.57
1574798869.0,1.33,-0.57
1574799466.0,1.33,-0.57
1574800064.0,1.38,-0.57
1574800662.0,1.38,-0.57
1574801259.0,1.38,-0.57
1574801857.0,1.38,-0.57
1574802454.0,1.38,-0.57
1574803052.0,1.42,-0.57
1574803649.0,1.42,-0.57
1574804247.0,1.42,-0.57
1574804844.0,1.42,-0.57
1574805442.0,1.42,-0.57
1574806039.0,1.47,-0.57
1574806637.0,1.46,-0.57
1574807234.0,1.47,-0.57
1574807832.0,1.46,-0.57
1574808429.0,1.47,-0.57
1574809027.0,1.44,-0.57
1574809625.0,1.44,-0.57
1574810222.0,1.44,-0.57
1574810820.0,1.44,-0.57
1574811417.0,1.44,-0.57
1574812015.0,1.49,-0.57
1574812612.0,1.49,-0.57
1574813210.0,1.49,-0.57
1574813808.0,1.49,-0.57
1574814405.0,1.49,-0.57
1574815003.0,1.49,-0.57
1574815600.0,1.43,-0.57
1574816198.0,1.43,-0.57
1574816795.0,1.43,-0.57
1574817393.0,1.43,-0.57
1574817990.0,1.43,-0.57
1574818588.0,1.12,-0.57
1574819185.0,1.12,-0.57
1574819783.0,1.12,-0.57
1574820380.0,1.12,-0.57
1574820978.0,1.12,-0.57
1574821575.0,1.24,-0.57
1574822173.0,1.23,-0.57
1574822771.0,1.24,-0.57
1574823368.0,1.23,-0.57
1574823966.0,1.24,-0.57
1574824563.0,1.38,-0.57
1574825161.0,1.38,-0.57
1574825758.0,1.38,-0.57
1574826356.0,1.38,-0.57
1574826953.0,1.38,-0.57
1574827551.0,1.38,-0.57
1574828148.0,1.34,-0.57
1574828746.0,1.34,-0.57
1574829343.0,1.34,-0.57
1574829941.0,1.34,-0.57
1574830538.0,1.34,-0.57
1574831136.0,1.3,-0.57
1574831733.0,1.3,-0.57
1574832331.0,1.3,-0.57
1574832928.0,1.3,-0.57
1574833526.0,1.3,-0.57
1574834123.0,1.29,-0.57
1574834721.0,1.29,-0.57
1574835318.0,1.29,-0.57
1574835916.0,1.29,-0.57
1574836513.0,1.29,-0.57
1574837111.0,1.27,-0.57
1574837709.0,1.27,-0.57
1574838306.0,1.27,-0.57
1574838904.0,1.27,-0.57
1574839501.0,1.27,-0.57
1574840099.0,1.32,-0.57
1574840696.0,1.33,-0.57
1574841294.0,1.32,-0.57
1574841891.0,1.33,-0.57
1574842489.0,1.32,-0.57
1574843086.0,1.33,-0.57
1574843684.0,1.31,-0.57
1574844281.0,1.32,-0.57
1574844879.0,1.31,-0.57
1574845477.0,1.32,-0.57
1574846074.0,1.31,-0.57
1574846672.0,1.41,-0.57
1574847269.0,1.41,-0.57
1574847867.0,1.41,-0.57
1574848464.0,1.41,-0.57
1574849062.0,1.41,-0.57
1574849659.0,1.51,-0.57
1574850257.0,1.51,-0.57
1574850854.0,1.51,-0.57
1574851452.0,1.51,-0.57
1574852049.0,1.51,-0.57
1574852647.0,1.45,-0.57
1574853244.0,1.45,-0.57
1574853842.0,1.45,-0.57
1574854439.0,1.45,-0.57
1574855037.0,1.45,-0.57
1574855634.0,1.45,-0.57
1574856232.0,1.51,-0.57
1574856829.0,1.51,-0.57
1574857427.0,1.51,-0.57
1574858024.0,1.51,-0.57
1574858622.0,1.51,-0.57
1574859220.0,1.35,-0.57
1574859817.0,1.36,-0.57
1574860415.0,1.35,-0.57
1574861012.0,1.36,-0.57
1574861610.0,1.35,-0.57
1574862207.0,1.28,-0.57
1574862805.0,1.28,-0.57
1574863402.0,1.28,-0.57
1574864000.0,1.28,-0.57
1574864597.0,1.28,-0.57
1574865195.0,1.46,-0.57
1574865792.0,1.47,-0.57
1574866390.0,1.46,-0.57
1574866987.0,1.47,-0.57
