Time,Forces,Platform Position
600699259.0,-1.37,0.23
600699857.0,-1.37,0.23
600700454.0,-1.46,0.23
600701052.0,-1.46,0.23
600701649.0,-1.46,0.23
600702247.0,-1.46,0.23
600702844.0,-1.46,0.23
600703442.0,-1.46,0.23
600704039.0,-1.39,0.23
600704637.0,-1.39,0.23
600705234.0,-1.39,0.23
600705832.0,-1.39,0.23
600706429.0,-1.39,0.23
600707027.0,-1.44,0.23
600707624.0,-1.43,0.23
600708222.0,-1.44,0.23
600708819.0,-1.43,0.23
600709417.0,-1.44,0.23
600710015.0,-1.41,0.23
600710612.0,-1.42,0.23
600711210.0,-1.41,0.23
600711807.0,-1.42,0.23
600712405.0,-1.41,0.23
600713002.0,-1.47,0.23
600713600.0,-1.47,0.23
600714197.0,-1.47,0.23
600714795.0,-1.47,0.23
600715392.0,-1.47,0.23
600715990.0,-1.47,0.23
600716587.0,-1.64,0.23
600717185.0,-1.64,0.23
600717783.0,-1.64,0.23
600718380.0,-1.64,0.23
600718978.0,-1.64,0.23
600719575.0,-1.74,0.23
600720173.0,-1.74,0.23
600720770.0,-1.74,0.23
600721368.0,-1.74,0.23
600721965.0,-1.74,0.23
600722563.0,-1.72,0.23
600723160.0,-1.72,0.23
600723758.0,-1.72,0.23
600724355.0,-1.72,0.23
600724953.0,-1.72,0.23
600725550.0,-1.63,0.23
600726148.0,-1.64,0.23
600726745.0,-1.63,0.23
600727343.0,-1.64,0.23
600727941.0,-1.63,0.23
600728538.0,-1.59,0.23
600729136.0,-1.59,0.23
600729733.0,-1.59,0.23
600730331.0,-1.59,0.23
600730928.0,-1.59,0.23
600731526.0,-1.59,0.23
600732230.0,-1.5,0.23
600732828.0,-1.5,0.23
600733425.0,-1.5,0.23
600734023.0,-1.5,0.23
600734620.0,-1.5,0.23
600735218.0,-1.41,0.23
600735816.0,-1.41,0.23
600736413.0,-1.41,0.23
600737011.0,-1.41,0.23
600737608.0,-1.41,0.23
600738206.0,-1.39,0.23
600738803.0,-1.38,0.23
600739401.0,-1.39,0.23
600739998.0,-1.38,0.23
600740596.0,-1.39,0.23
600741193.0,-1.42,0.23
600741791.0,-1.42,0.23
600742388.0,-1.42,0.23
600742986.0,-1.42,0.23
600743583.0,-1.42,0.23
600744181.0,-1.52,0.23
600744778.0,-1.52,0.23
600745376.0,-1.52,0.23
600745973.0,-1.52,0.23
600746571.0,-1.52,0.23
600747168.0,-1.52,0.23
600747766.0,-1.36,0.23
600748363.0,-1.36,0.23
600748961.0,-1.36,0.23
600749559.0,-1.36,0.23
600750156.0,-1.36,0.23
600750754.0,-1.32,0.23
600751351.0,-1.32,0.23
600751949.0,-1.32,0.23
600752546.0,-1.32,0.23
600753144.0,-1.32,0.23
600753741.0,-1.51,0.23
600754339.0,-1.51,0.23
600754936.0,-1.51,0.23
600755534.0,-1.51,0.23
600756131.0,-1.51,0.23
600756729.0,-1.4,0.23
600757326.0,-1.4,0.23
600757924.0,-1.4,0.23
600758521.0,-1.4,0.23
600759119.0,-1.4,0.23
600759717.0,-1.27,0.23
600760314.0,-1.26,0.23
600760912.0,-1.27,0.23
600761509.0,-1.26,0.23
600762107.0,-1.27,0.23
600762704.0,-1.26,0.23
600763302.0,-1.3,0.23
600763899.0,-1.3,0.23
600764497.0,-1.3,0.23
600765094.0,-1.3,0.23
600765692.0,-1.3,0.23
600766289.0,-1.38,0.23
600766887.0,-1.38,0.23
600767484.0,-1.38,0.23
600768082.0,-1.38,0.23
600768679.0,-1.38,0.23
600769277.0,-1.41,0.23
600769875.0,-1.4,0.23
600770472.0,-1.41,0.23
600771069.0,-1.4,0.23
600771667.0,-1.41,0.23
600772265.0,-1.28,0.23
600772862.0,-1.29,0.23
600773460.0,-1.28,0.23
600774057.0,-1.29,0.23
600774655.0,-1.28,0.23
600775252.0,-1.29,0.23
600775850.0,-1.11,0.23
600776447.0,-1.11,0.23
600777045.0,-1.11,0.23
600777642.0,-1.11,0.23
600778240.0,-1.11,0.23
600778837.0,-1.19,0.23
600779435.0,-1.19,0.23
600780032.0,-1.19,0.23
600780630.0,-1.19,0.23
