Time,Forces,Platform Position
31778383.0,-1.79,0.01
31778383.0,-1.79,0.01
31778981.0,-1.8,0.01
31778981.0,-1.8,0.01
31779578.0,-1.64,0.01
31779578.0,-1.64,0.01
31780176.0,-1.65,0.01
31780176.0,-1.65,0.01
31780773.0,-1.64,0.01
31780773.0,-1.64,0.01
31781371.0,-1.65,0.01
31781371.0,-1.65,0.01
31781968.0,-1.64,0.01
31781968.0,-1.64,0.01
31782566.0,-1.54,0.01
31782566.0,-1.54,0.01
31783163.0,-1.54,0.01
31783163.0,-1.54,0.01
31783761.0,-1.54,0.01
31783761.0,-1.54,0.01
31784358.0,-1.54,0.01
31784358.0,-1.54,0.01
31784956.0,-1.54,0.01
31784956.0,-1.54,0.01
31785553.0,-1.54,0.01
31785553.0,-1.54,0.01
31786151.0,-1.73,0.01
31786151.0,-1.73,0.01
31786748.0,-1.73,0.01
31786748.0,-1.73,0.01
31787346.0,-1.73,0.01
31787346.0,-1.73,0.01
31787943.0,-1.73,0.01
31787943.0,-1.73,0.01
31788541.0,-1.73,0.01
31788541.0,-1.73,0.01
31789138.0,-1.75,0.01
31789138.0,-1.75,0.01
31789736.0,-1.75,0.01
31789736.0,-1.75,0.01
31790333.0,-1.75,0.01
31790333.0,-1.75,0.01
31790931.0,-1.75,0.01
31790931.0,-1.75,0.01
31791528.0,-1.75,0.01
31791528.0,-1.75,0.01
31792126.0,-1.83,0.01
31792126.0,-1.83,0.01
31792723.0,-1.83,0.01
31792723.0,-1.83,0.01
31793321.0,-1.83,0.01
31793321.0,-1.83,0.01
31793918.0,-1.83,0.01
31793918.0,-1.83,0.01
31794516.0,-1.83,0.01
31794516.0,-1.83,0.01
31795113.0,-1.79,0.01
31795113.0,-1.79,0.01
31795711.0,-1.8,0.01
31795711.0,-1.8,0.01
31796308.0,-1.79,0.01
31796308.0,-1.79,0.01
31796906.0,-1.8,0.01
31796906.0,-1.8,0.01
31797503.0,-1.79,0.01
31797503.0,-1.79,0.01
31798101.0,-1.77,0.01
31798101.0,-1.77,0.01
31798698.0,-1.77,0.01
31798698.0,-1.77,0.01
31799296.0,-1.77,0.01
31799296.0,-1.77,0.01
31799893.0,-1.77,0.01
31799893.0,-1.77,0.01
31800491.0,-1.77,0.01
31800491.0,-1.77,0.01
31801088.0,-1.77,0.01
31801088.0,-1.77,0.01
31801686.0,-1.81,0.01
31801686.0,-1.81,0.01
31802283.0,-1.8,0.01
31802283.0,-1.8,0.01
31802881.0,-1.81,0.01
31802881.0,-1.81,0.01
31803478.0,-1.8,0.01
31803478.0,-1.8,0.01
31804076.0,-1.81,0.01
31804076.0,-1.81,0.01
31804673.0,-1.83,0.01
31804673.0,-1.83,0.01
31805271.0,-1.83,0.01
31805271.0,-1.83,0.01
31805868.0,-1.83,0.01
31805868.0,-1.83,0.01
31806466.0,-1.83,0.01
31806466.0,-1.83,0.01
31807063.0,-1.83,0.01
31807063.0,-1.83,0.01
31807661.0,-1.85,0.01
31807661.0,-1.85,0.01
31808258.0,-1.85,0.01
31808258.0,-1.85,0.01
31808856.0,-1.85,0.01
31808856.0,-1.85,0.01
31809453.0,-1.85,0.01
31809453.0,-1.85,0.01
31810051.0,-1.85,0.01
31810051.0,-1.85,0.01
31810648.0,-1.96,0.01
31810648.0,-1.96,0.01
31811246.0,-1.96,0.01
31811246.0,-1.96,0.01
31811843.0,-1.96,0.01
31811843.0,-1.96,0.01
31812441.0,-1.96,0.01
31812441.0,-1.96,0.01
31813038.0,-1.96,0.01
31813038.0,-1.96,0.01
31813636.0,-1.96,0.01
31813636.0,-1.96,0.01
31814233.0,-1.85,0.01
31814233.0,-1.85,0.01
31814831.0,-1.85,0.01
31814831.0,-1.85,0.01
31815428.0,-1.85,0.01
31815428.0,-1.85,0.01
31816026.0,-1.85,0.01
31816026.0,-1.85,0.01
31816623.0,-1.85,0.01
31816623.0,-1.85,0.01
31817221.0,-1.97,0.01
31817221.0,-1.97,0.01
31817818.0,-1.97,0.01
31817818.0,-1.97,0.01
31818416.0,-1.97,0.01
31818416.0,-1.97,0.01
31819013.0,-1.97,0.01
31819013.0,-1.97,0.01
31819611.0,-1.97,0.01
31819611.0,-1.97,0.01
31820208.0,-2.07,0.01
31820208.0,-2.07,0.01
31820805.0,-2.07,0.01
31820805.0,-2.07,0.01
31821403.0,-2.07,0.01
31821403.0,-2.07,0.01
31822000.0,-2.07,0.01
31822000.0,-2.07,0.01
31822598.0,-2.07,0.01
31822598.0,-2.07,0.01
31823196.0,-1.96,0.01
31823196.0,-1.96,0.01
31823793.0,-1.96,0.01
31823793.0,-1.96,0.01
31824390.0,-1.96,0.01
31824390.0,-1.96,0.01
31824988.0,-1.96,0.01
31824988.0,-1.96,0.01
31825585.0,-1.96,0.01
31825585.0,-1.96,0.01
31826183.0,-1.82,0.01
31826183.0,-1.82,0.01
31826780.0,-1.82,0.01
31826780.0,-1.82,0.01
31827378.0,-1.82,0.01
31827378.0,-1.82,0.01
31827975.0,-1.82,0.01
31827975.0,-1.82,0.01
31828573.0,-1.82,0.01
31828573.0,-1.82,0.01
31829170.0,-1.82,0.01
31829170.0,-1.82,0.01
31829767.0,-1.79,0.01
31829767.0,-1.79,0.01
31830365.0,-1.8,0.01
31830365.0,-1.8,0.01
31830963.0,-1.79,0.01
31830963.0,-1.79,0.01
31831560.0,-1.8,0.01
31831560.0,-1.8,0.01
31832157.0,-1.79,0.01
31832157.0,-1.79,0.01
31832755.0,-1.76,0.01
31832755.0,-1.76,0.01
31833352.0,-1.76,0.01
31833352.0,-1.76,0.01
31833950.0,-1.76,0.01
31833950.0,-1.76,0.01
31834547.0,-1.76,0.01
31834547.0,-1.76,0.01
31835145.0,-1.76,0.01
31835145.0,-1.76,0.01
31835742.0,-1.7,0.01
31835742.0,-1.7,0.01
31836340.0,-1.7,0.01
31836340.0,-1.7,0.01
31836937.0,-1.7,0.01
31836937.0,-1.7,0.01
31837535.0,-1.7,0.01
31837535.0,-1.7,0.01
31838132.0,-1.7,0.01
31838132.0,-1.7,0.01
31838730.0,-1.73,0.01
31838730.0,-1.73,0.01
31839327.0,-1.73,0.01
31839327.0,-1.73,0.01
31839925.0,-1.73,0.01
31839925.0,-1.73,0.01
31840522.0,-1.73,0.01
31840522.0,-1.73,0.01
31841119.0,-1.73,0.01
31841119.0,-1.73,0.01
31841717.0,-1.72,0.01
31841717.0,-1.72,0.01
31842314.0,-1.72,0.01
31842314.0,-1.72,0.01
31842912.0,-1.72,0.01
31842912.0,-1.72,0.01
31843509.0,-1.72,0.01
31843509.0,-1.72,0.01
31844107.0,-1.72,0.01
31844107.0,-1.72,0.01
31844704.0,-1.72,0.01
31844704.0,-1.72,0.01
31845302.0,-1.77,0.01
31845302.0,-1.77,0.01
31845899.0,-1.77,0.01
31845899.0,-1.77,0.01
31846497.0,-1.77,0.01
31846497.0,-1.77,0.01
31847094.0,-1.77,0.01
31847094.0,-1.77,0.01
31847692.0,-1.77,0.01
31847692.0,-1.77,0.01
31848289.0,-1.71,0.01
31848289.0,-1.71,0.01
31848887.0,-1.71,0.01
31848887.0,-1.71,0.01
31849484.0,-1.71,0.01
31849484.0,-1.71,0.01
31850082.0,-1.71,0.01
31850082.0,-1.71,0.01
31850679.0,-1.71,0.01
31850679.0,-1.71,0.01
31851277.0,-1.78,0.01
31851277.0,-1.78,0.01
31851874.0,-1.78,0.01
31851874.0,-1.78,0.01
31852472.0,-1.78,0.01
31852472.0,-1.78,0.01
