Time,Forces,Platform Position
907306711.0,-1.63,0.23
907307308.0,-1.63,0.23
907307905.0,-1.63,0.23
907308503.0,-1.63,0.23
907309100.0,-1.55,0.23
907309698.0,-1.56,0.23
907310296.0,-1.55,0.23
907310893.0,-1.56,0.23
907311491.0,-1.55,0.23
907312088.0,-1.51,0.23
907312686.0,-1.51,0.23
907313283.0,-1.51,0.23
907313881.0,-1.51,0.23
907314478.0,-1.51,0.23
907315076.0,-1.51,0.23
907315673.0,-1.5,0.23
907316271.0,-1.5,0.23
907316868.0,-1.5,0.23
907317466.0,-1.5,0.23
907318063.0,-1.5,0.23
907318661.0,-1.64,0.23
907319258.0,-1.64,0.23
907319856.0,-1.64,0.23
907320454.0,-1.64,0.23
907321051.0,-1.64,0.23
