Time,Forces,Platform Position
3807323189.0,-1.57,1.03
3807323787.0,-1.57,1.03
3807324384.0,-1.57,1.03
3807324982.0,-1.57,1.03
3807325579.0,-1.41,1.03
3807326177.0,-1.41,1.03
3807326774.0,-1.41,1.03
3807327372.0,-1.41,1.03
3807327969.0,-1.41,1.03
3807328567.0,-1.52,1.03
3807329164.0,-1.51,1.03
3807329762.0,-1.52,1.03
3807330360.0,-1.51,1.03
3807330957.0,-1.52,1.03
3807331555.0,-1.51,1.03
3807332152.0,-1.7,1.03
3807332750.0,-1.7,1.03
3807333347.0,-1.7,1.03
3807333945.0,-1.7,1.03
3807334542.0,-1.7,1.03
3807335140.0,-1.74,1.03
3807335737.0,-1.74,1.03
3807336335.0,-1.74,1.03
3807336932.0,-1.74,1.03
3807337530.0,-1.74,1.03
3807338127.0,-1.67,1.03
3807338725.0,-1.67,1.03
3807339322.0,-1.67,1.03
3807339920.0,-1.67,1.03
3807340517.0,-1.67,1.03
3807341115.0,-1.62,1.03
3807341712.0,-1.63,1.03
3807342310.0,-1.62,1.03
3807342907.0,-1.63,1.03
3807343505.0,-1.62,1.03
3807344102.0,-1.63,1.03
3807344700.0,-1.69,1.03
3807345297.0,-1.69,1.03
3807345895.0,-1.69,1.03
3807346492.0,-1.69,1.03
3807347090.0,-1.69,1.03
3807347688.0,-1.64,1.03
3807348285.0,-1.63,1.03
3807348883.0,-1.64,1.03
3807349480.0,-1.63,1.03
3807350078.0,-1.64,1.03
3807350675.0,-1.65,1.03
3807351273.0,-1.65,1.03
3807351870.0,-1.65,1.03
3807352468.0,-1.65,1.03
3807353065.0,-1.65,1.03
3807353663.0,-1.73,1.03
3807354260.0,-1.73,1.03
3807354858.0,-1.73,1.03
3807355455.0,-1.73,1.03
3807356053.0,-1.73,1.03
3807356650.0,-1.8,1.03
3807357248.0,-1.81,1.03
3807357845.0,-1.8,1.03
3807358443.0,-1.81,1.03
3807359040.0,-1.8,1.03
3807359638.0,-1.81,1.03
3807360235.0,-1.85,1.03
3807360833.0,-1.85,1.03
3807361431.0,-1.85,1.03
3807362028.0,-1.85,1.03
3807362625.0,-1.85,1.03
3807363223.0,-1.75,1.03
3807363821.0,-1.75,1.03
3807364418.0,-1.75,1.03
3807365016.0,-1.75,1.03
3807365613.0,-1.75,1.03
3807366211.0,-1.73,1.03
3807366808.0,-1.73,1.03
3807367406.0,-1.73,1.03
3807368003.0,-1.73,1.03
3807368601.0,-1.73,1.03
3807369198.0,-1.84,1.03
3807369796.0,-1.84,1.03
3807370393.0,-1.84,1.03
3807370991.0,-1.84,1.03
3807371588.0,-1.84,1.03
3807372186.0,-1.84,1.03
3807372783.0,-1.74,1.03
3807373381.0,-1.74,1.03
3807373979.0,-1.74,1.03
3807374576.0,-1.74,1.03
3807375174.0,-1.74,1.03
3807375771.0,-1.82,1.03
3807376369.0,-1.82,1.03
3807376966.0,-1.82,1.03
3807377564.0,-1.82,1.03
3807378161.0,-1.82,1.03
3807378759.0,-1.8,1.03
3807379356.0,-1.8,1.03
3807380061.0,-1.8,1.03
3807380658.0,-1.8,1.03
3807381256.0,-1.8,1.03
3807381853.0,-1.67,1.03
3807382451.0,-1.67,1.03
3807383048.0,-1.67,1.03
3807383646.0,-1.67,1.03
3807384244.0,-1.67,1.03
3807384841.0,-1.74,1.03
3807385439.0,-1.74,1.03
3807386036.0,-1.74,1.03
3807386634.0,-1.74,1.03
3807387231.0,-1.74,1.03
3807387829.0,-1.8,1.03
3807388426.0,-1.81,1.03
3807389024.0,-1.8,1.03
3807389621.0,-1.81,1.03
3807390219.0,-1.8,1.03
3807390816.0,-1.81,1.03
3807391414.0,-1.78,1.03
3807392011.0,-1.78,1.03
3807392609.0,-1.78,1.03
3807393206.0,-1.78,1.03
3807393804.0,-1.78,1.03
3807394401.0,-1.78,1.03
3807394999.0,-1.77,1.03
3807395596.0,-1.78,1.03
3807396194.0,-1.77,1.03
3807396792.0,-1.78,1.03
3807397389.0,-1.73,1.03
3807397987.0,-1.73,1.03
3807398584.0,-1.73,1.03
3807399182.0,-1.73,1.03
3807399779.0,-1.73,1.03
3807400377.0,-1.62,1.03
3807400974.0,-1.62,1.03
3807401572.0,-1.62,1.03
3807402169.0,-1.62,1.03
3807402767.0,-1.62,1.03
3807403364.0,-1.62,1.03
3807403962.0,-1.65,1.03
3807404559.0,-1.65,1.03
3807405157.0,-1.65,1.03
3807405755.0,-1.65,1.03
3807406352.0,-1.65,1.03
3807406950.0,-1.69,1.03
3807407547.0,-1.69,1.03
3807408145.0,-1.69,1.03
3807408742.0,-1.69,1.03
3807409340.0,-1.69,1.03
3807409937.0,-1.73,1.03
3807410535.0,-1.73,1.03
3807411132.0,-1.73,1.03
3807411730.0,-1.73,1.03
3807412327.0,-1.73,1.03
3807412925.0,-1.56,1.03
3807413522.0,-1.56,1.03
3807414120.0,-1.56,1.03
3807414717.0,-1.56,1.03
3807415315.0,-1.56,1.03
3807415912.0,-1.53,1.03
3807416510.0,-1.53,1.03
3807417107.0,-1.53,1.03
3807417705.0,-1.53,1.03
3807418303.0,-1.53,1.03
3807418900.0,-1.53,1.03
3807419498.0,-1.58,1.03
3807420095.0,-1.58,1.03
3807420693.0,-1.58,1.03
3807421290.0,-1.58,1.03
3807421888.0,-1.58,1.03
3807422485.0,-1.48,1.03
3807423083.0,-1.48,1.03
3807423680.0,-1.48,1.03
3807424278.0,-1.48,1.03
3807424875.0,-1.48,1.03
3807425473.0,-1.43,1.03
3807426070.0,-1.43,1.03
3807426668.0,-1.43,1.03
3807427265.0,-1.43,1.03
3807427863.0,-1.43,1.03
3807428460.0,-1.46,1.03
3807429058.0,-1.46,1.03
3807429655.0,-1.46,1.03
3807430253.0,-1.46,1.03
3807430850.0,-1.46,1.03
3807431448.0,-1.46,1.03
3807432045.0,-1.62,1.03
3807432643.0,-1.62,1.03
3807433241.0,-1.62,1.03
3807433838.0,-1.62,1.03
3807434436.0,-1.62,1.03
3807435033.0,-1.72,1.03
3807435630.0,-1.72,1.03
3807436228.0,-1.72,1.03
3807436825.0,-1.72,1.03
3807437423.0,-1.72,1.03
3807438021.0,-1.72,1.03
3807438618.0,-1.72,1.03
3807439216.0,-1.72,1.03
3807439813.0,-1.72,1.03
3807440411.0,-1.72,1.03
3807441008.0,-1.62,1.03
3807441606.0,-1.62,1.03
3807442203.0,-1.62,1.03
3807442801.0,-1.62,1.03
3807443398.0,-1.62,1.03
3807443996.0,-1.62,1.03
3807444593.0,-1.62,1.03
3807445191.0,-1.62,1.03
3807445788.0,-1.62,1.03
3807446386.0,-1.62,1.03
3807446983.0,-1.62,1.03
3807447581.0,-1.65,1.03
3807448178.0,-1.66,1.03
3807448776.0,-1.65,1.03
3807449373.0,-1.66,1.03
3807449971.0,-1.65,1.03
3807450568.0,-1.71,1.03
3807451166.0,-1.71,1.03
3807451763.0,-1.71,1.03
3807452361.0,-1.71,1.03
3807452958.0,-1.71,1.03
3807453556.0,-1.65,1.03
3807454153.0,-1.65,1.03
3807454751.0,-1.65,1.03
3807455349.0,-1.65,1.03
3807455946.0,-1.65,1.03
3807456544.0,-1.53,1.03
3807457141.0,-1.53,1.03
3807457739.0,-1.53,1.03
3807458336.0,-1.53,1.03
3807458934.0,-1.53,1.03
3807459531.0,-1.53,1.03
3807460129.0,-1.44,1.03
3807460726.0,-1.44,1.03
3807461324.0,-1.44,1.03
3807461921.0,-1.44,1.03
