Time,Forces,Platform Position
1436261274.0,1.19,-0.57
1436261872.0,1.33,-0.57
1436262469.0,1.33,-0.57
1436263067.0,1.33,-0.57
1436263664.0,1.33,-0.57
1436264262.0,1.33,-0.57
1436264860.0,1.33,-0.57
1436265457.0,1.54,-0.57
1436266054.0,1.54,-0.57
1436266652.0,1.54,-0.57
1436267250.0,1.54,-0.57
1436267847.0,1.54,-0.57
1436268445.0,1.54,-0.57
1436269042.0,1.54,-0.57
1436269640.0,1.54,-0.57
1436270237.0,1.54,-0.57
1436270835.0,1.54,-0.57
1436271432.0,1.58,-0.57
1436272030.0,1.58,-0.57
1436272627.0,1.58,-0.57
1436273225.0,1.58,-0.57
1436273822.0,1.58,-0.57
1436274420.0,1.65,-0.57
1436275017.0,1.65,-0.57
1436275615.0,1.65,-0.57
1436276212.0,1.65,-0.57
1436276810.0,1.65,-0.57
1436277407.0,1.65,-0.57
1436278005.0,1.83,-0.57
1436278603.0,1.83,-0.57
1436279200.0,1.83,-0.57
1436279798.0,1.83,-0.57
1436280395.0,1.83,-0.57
1436280993.0,1.61,-0.57
1436281590.0,1.61,-0.57
1436282188.0,1.61,-0.57
1436282785.0,1.61,-0.57
1436283383.0,1.61,-0.57
1436283980.0,1.46,-0.57
1436284578.0,1.47,-0.57
1436285176.0,1.46,-0.57
1436285773.0,1.47,-0.57
1436286371.0,1.46,-0.57
1436286968.0,1.45,-0.57
1436287566.0,1.45,-0.57
1436288163.0,1.45,-0.57
1436288761.0,1.45,-0.57
1436289358.0,1.45,-0.57
1436289956.0,1.5,-0.57
1436290553.0,1.5,-0.57
1436291151.0,1.5,-0.57
1436291748.0,1.5,-0.57
1436292346.0,1.5,-0.57
1436292943.0,1.5,-0.57
1436293541.0,1.44,-0.57
1436294139.0,1.45,-0.57
1436294736.0,1.44,-0.57
1436295334.0,1.45,-0.57
1436295931.0,1.44,-0.57
1436296529.0,1.47,-0.57
1436297126.0,1.47,-0.57
1436297724.0,1.47,-0.57
1436298321.0,1.47,-0.57
1436298919.0,1.47,-0.57
1436299516.0,1.46,-0.57
1436300114.0,1.46,-0.57
1436300711.0,1.46,-0.57
1436301309.0,1.46,-0.57
1436301907.0,1.46,-0.57
1436302504.0,1.23,-0.57
1436303102.0,1.23,-0.57
1436303699.0,1.23,-0.57
1436304297.0,1.23,-0.57
1436304894.0,1.23,-0.57
1436305492.0,1.23,-0.57
1436306089.0,1.32,-0.57
1436306687.0,1.32,-0.57
1436307284.0,1.32,-0.57
1436307882.0,1.32,-0.57
1436308479.0,1.32,-0.57
1436309077.0,1.45,-0.57
1436309674.0,1.45,-0.57
1436310272.0,1.45,-0.57
1436310870.0,1.45,-0.57
1436311467.0,1.45,-0.57
1436312065.0,1.6,-0.57
1436312662.0,1.59,-0.57
1436313260.0,1.6,-0.57
1436313857.0,1.59,-0.57
1436314455.0,1.6,-0.57
1436315052.0,1.47,-0.57
1436315650.0,1.48,-0.57
1436316247.0,1.47,-0.57
1436316845.0,1.48,-0.57
1436317442.0,1.47,-0.57
1436318040.0,1.38,-0.57
1436318637.0,1.38,-0.57
1436319235.0,1.38,-0.57
1436319833.0,1.38,-0.57
1436320430.0,1.38,-0.57
1436321027.0,1.38,-0.57
1436321625.0,1.45,-0.57
1436322222.0,1.45,-0.57
1436322820.0,1.45,-0.57
1436323417.0,1.45,-0.57
1436324015.0,1.45,-0.57
1436324613.0,1.47,-0.57
1436325210.0,1.48,-0.57
1436325807.0,1.47,-0.57
1436326405.0,1.48,-0.57
1436327003.0,1.47,-0.57
1436327600.0,1.38,-0.57
1436328198.0,1.38,-0.57
1436328795.0,1.38,-0.57
1436329393.0,1.38,-0.57
1436329990.0,1.38,-0.57
1436330588.0,1.49,-0.57
1436331185.0,1.49,-0.57
1436331783.0,1.49,-0.57
1436332380.0,1.49,-0.57
1436332978.0,1.49,-0.57
1436333575.0,1.49,-0.57
1436334173.0,1.45,-0.57
1436334771.0,1.46,-0.57
1436335368.0,1.45,-0.57
1436335966.0,1.46,-0.57
1436336563.0,1.45,-0.57
1436337161.0,1.2,-0.57
1436337758.0,1.2,-0.57
1436338356.0,1.2,-0.57
1436338953.0,1.2,-0.57
1436339551.0,1.2,-0.57
1436340148.0,1.25,-0.57
1436340746.0,1.25,-0.57
1436341343.0,1.25,-0.57
1436341941.0,1.25,-0.57
1436342539.0,1.25,-0.57
1436343136.0,1.11,-0.57
1436343734.0,1.1,-0.57
1436344331.0,1.11,-0.57
1436344929.0,1.1,-0.57
1436345526.0,1.11,-0.57
1436346124.0,1.27,-0.57
1436346721.0,1.27,-0.57
1436347319.0,1.27,-0.57
1436347916.0,1.27,-0.57
1436348514.0,1.27,-0.57
1436349111.0,1.27,-0.57
1436349709.0,1.15,-0.57
1436350306.0,1.15,-0.57
1436350904.0,1.15,-0.57
1436351501.0,1.15,-0.57
1436352099.0,1.15,-0.57
1436352696.0,0.94,-0.57
1436353294.0,0.93,-0.57
1436353891.0,0.94,-0.57
1436354489.0,0.93,-0.57
1436355086.0,0.94,-0.57
1436355684.0,1.05,-0.57
1436356281.0,1.05,-0.57
1436356879.0,1.05,-0.57
1436357476.0,1.05,-0.57
1436358074.0,1.05,-0.57
1436358671.0,1.2,-0.57
1436359269.0,1.19,-0.57
1436359866.0,1.2,-0.57
1436360464.0,1.19,-0.57
1436361061.0,1.2,-0.57
1436361659.0,1.19,-0.57
1436362256.0,1.33,-0.57
1436362854.0,1.32,-0.57
1436363451.0,1.33,-0.57
1436364049.0,1.32,-0.57
1436364647.0,1.33,-0.57
1436365244.0,1.27,-0.57
1436365842.0,1.27,-0.57
1436366439.0,1.27,-0.57
1436367037.0,1.27,-0.57
1436367634.0,1.27,-0.57
1436368232.0,1.3,-0.57
1436368829.0,1.3,-0.57
1436369427.0,1.3,-0.57
1436370024.0,1.3,-0.57
1436370622.0,1.3,-0.57
1436371219.0,1.38,-0.57
1436371817.0,1.38,-0.57
1436372414.0,1.38,-0.57
1436373012.0,1.38,-0.57
1436373609.0,1.38,-0.57
1436374207.0,1.29,-0.57
1436374805.0,1.29,-0.57
1436375402.0,1.29,-0.57
1436376000.0,1.29,-0.57
1436376597.0,1.29,-0.57
1436377195.0,1.29,-0.57
1436377792.0,1.29,-0.57
1436378390.0,1.29,-0.57
1436378987.0,1.29,-0.57
1436379585.0,1.29,-0.57
1436380182.0,1.29,-0.57
1436380780.0,1.6,-0.57
1436381377.0,1.61,-0.57
1436381975.0,1.6,-0.57
1436382572.0,1.61,-0.57
1436383170.0,1.6,-0.57
1436383768.0,1.63,-0.57
1436384365.0,1.63,-0.57
1436384963.0,1.63,-0.57
1436385560.0,1.63,-0.57
1436386158.0,1.63,-0.57
1436386755.0,1.5,-0.57
1436387353.0,1.5,-0.57
1436387950.0,1.5,-0.57
1436388548.0,1.5,-0.57
1436389146.0,1.5,-0.57
1436389743.0,1.5,-0.57
1436390341.0,1.55,-0.57
1436390938.0,1.55,-0.57
1436391536.0,1.55,-0.57
1436392133.0,1.55,-0.57
1436392731.0,1.55,-0.57
1436393328.0,1.42,-0.57
1436393926.0,1.42,-0.57
1436394523.0,1.42,-0.57
1436395121.0,1.42,-0.57
1436395718.0,1.42,-0.57
1436396316.0,1.26,-0.57
1436396913.0,1.26,-0.57
1436397511.0,1.26,-0.57
1436398108.0,1.26,-0.57
1436398706.0,1.26,-0.57
1436399304.0,1.23,-0.57
1436399901.0,1.23,-0.57
1436400499.0,1.23,-0.57
1436401096.0,1.23,-0.57
1436401694.0,1.23,-0.57
1436402291.0,1.27,-0.57
1436402889.0,1.27,-0.57
1436403486.0,1.27,-0.57
1436404084.0,1.27,-0.57
1436404681.0,1.27,-0.57
1436405279.0,1.27,-0.57
1436405877.0,1.36,-0.57
1436406474.0,1.36,-0.57
1436407072.0,1.36,-0.57
1436407669.0,1.36,-0.57
1436408267.0,1.36,-0.57
1436408864.0,1.43,-0.57
1436409462.0,1.43,-0.57
1436410059.0,1.43,-0.57
1436410657.0,1.43,-0.57
1436411254.0,1.43,-0.57
1436411852.0,1.36,-0.57
1436412449.0,1.37,-0.57
1436413047.0,1.36,-0.57
1436413645.0,1.37,-0.57
1436414242.0,1.36,-0.57
1436414840.0,1.23,-0.57
1436415437.0,1.23,-0.57
1436416035.0,1.23,-0.57
1436416632.0,1.23,-0.57
1436417230.0,1.23,-0.57
1436417827.0,1.23,-0.57
1436418425.0,1.37,-0.57
1436419022.0,1.36,-0.57
1436419620.0,1.37,-0.57
1436420217.0,1.36,-0.57
1436420815.0,1.37,-0.57
1436421412.0,1.45,-0.57
1436422010.0,1.45,-0.57
1436422608.0,1.45,-0.57
1436423205.0,1.45,-0.57
1436423803.0,1.45,-0.57
1436424400.0,1.34,-0.57
1436424998.0,1.34,-0.57
1436425595.0,1.34,-0.57
1436426193.0,1.34,-0.57
1436426790.0,1.34,-0.57
1436427388.0,1.31,-0.57
1436427985.0,1.31,-0.57
1436428583.0,1.31,-0.57
1436429180.0,1.31,-0.57
1436429778.0,1.31,-0.57
1436430375.0,1.43,-0.57
1436430973.0,1.43,-0.57
1436431571.0,1.43,-0.57
1436432168.0,1.43,-0.57
1436432766.0,1.43,-0.57
1436433363.0,1.43,-0.57
