Time,Forces,Platform Position
81006900.0,-1.76,0.03
81007498.0,-1.75,0.03
81008095.0,-1.76,0.03
81008693.0,-1.75,0.03
81009290.0,-1.76,0.03
81009888.0,-1.75,0.03
81010485.0,-1.68,0.03
81011083.0,-1.68,0.03
81011680.0,-1.68,0.03
81012277.0,-1.68,0.03
81012875.0,-1.68,0.03
81013473.0,-1.64,0.03
81014070.0,-1.64,0.03
81014668.0,-1.64,0.03
81015265.0,-1.64,0.03
81015863.0,-1.64,0.03
81016460.0,-1.65,0.03
81017057.0,-1.65,0.03
81017655.0,-1.65,0.03
81018253.0,-1.65,0.03
81018850.0,-1.65,0.03
81019448.0,-1.5,0.03
81020045.0,-1.5,0.03
81020643.0,-1.5,0.03
81021240.0,-1.5,0.03
81021838.0,-1.5,0.03
81022435.0,-1.5,0.03
81023033.0,-1.36,0.03
81023630.0,-1.36,0.03
81024227.0,-1.36,0.03
81024825.0,-1.36,0.03
81025423.0,-1.36,0.03
81026020.0,-1.4,0.03
81026618.0,-1.4,0.03
81027215.0,-1.4,0.03
81027813.0,-1.4,0.03
81028410.0,-1.4,0.03
81029008.0,-1.57,0.03
81029605.0,-1.57,0.03
81030203.0,-1.57,0.03
81030800.0,-1.57,0.03
81031398.0,-1.57,0.03
81031995.0,-1.64,0.03
81032593.0,-1.64,0.03
81033190.0,-1.64,0.03
81033788.0,-1.64,0.03
81034385.0,-1.64,0.03
81034983.0,-1.71,0.03
81035580.0,-1.71,0.03
81036178.0,-1.71,0.03
81036775.0,-1.71,0.03
